DOI,CELLPERMILLION,COMPONENT 1,COMPONENT 2,COMPONENT 3,QUANTITY1,QUANTITY2,QUANTITY3,TYPECELLS,UNIT,Texto
1-s2.0-S1751616122001357-main.txt,,,,,,,,,,journal of the mechanical behavior of biomedical materials 130 (2022) 105219 Available online 6 April 2022 1751-6161/© 2022 The Authors.
1-s2.0-S1751616122001357-main.txt,"500,000 cells/ml",,,,,,,,,"A cell-laden hydrogel was prepared by  gently mixing cells in a concentration of 500,000 cells/ml into the 37 •C  warm hydrogel."
1-s2.0-S1751616122001357-main.txt,"500,000  cells/ml.",alginate,gelatin,,2%,8%,,imscs,,"Immortalized mesenchymal stem cells (iMSCs) were encapsulated in a  hydrogel of 2% alginate and 8% gelatin in a concentration of 500,000  cells/ml."
1-s2.0-S1751616122001357-main.txt,"500,000 cells/ml",,,,,,,,,"The hydrogel contained 500,000 cells/ml and the samples  were incubated in vitro for up to 28 days."
10.1177_1535370218821128.txt,,,,,,,,,,"Original Research Volume-by-volume bioprinting of chondrocytes-alginate bioinks in high temperature thermoplastic scaffolds for cartilageregeneration JM Baena1,*, G Jime ´nez1,2,3,*,EL /C19opez-Ruiz1,4, C Antich1,2,3,CG r i ~na´n-Lis /C19on1,2, M Pera ´n1,4, PG a´lvez-Mart /C19ın5and JA Marchal1,2,3 1Biopathology and Regenerative Medicine Institute (IBIMER), Centre for Biomedical Research, University of Granada, Granada E-18100, Spain;2Biosanitary Research Institute of Granada (ibs."
41467_2024_Article_48023.txt,,,,,,,,,,"Article https://doi.org/10.1038/s41467-024-48023-8 A mechanical-assisted post-bioprinting strategy for challenging bone defects repair Jirong Yang1,2, Zhigang Chen1,2, Chongjian Gao1,J u a nL i u1,K a i z h e n gL i u1, Xiao Wang1,3, Xiaoling Pan1,3,G u o c h e n gW a n g1,2, Hongxun Sang3, Haobo Pan1,2,4,W e n g u a n gL i u5& Changshun Ruan1,2,4 Bioprinting that can synchronously dep osit cells and biomaterials has lent fresh impetus to the ﬁeld of tissue regeneration."
41467_2024_Article_48023.txt,1 × 106cells/ml,,,,,,,hbmscs cell,,"HHSs were subject to a static condition without mechanical stimu- lation within 4 s in cell suspension (1 × 106cells/mL), or a cycle of compression- recovery within 4 s at 80% strain in hBMSCs cell suspension (1 × 106cells/mL) under a dynamic condition."
41467_2024_Article_48023.txt,1 × 10 6cells/ml,,,,,,,hbmscs cell,,"cSchematic diagram ( i),ﬂuorescence images ( ii) and quantitative analysis (iii) of cell loading into HHSs in hBMSCs cell suspension (1 × 10 6cells/mL), which were controlled by various compression strains (20%, 40%, 60% and 80%), n=5 , *P= 0.0446 (20% and 40%), *** P=0 ."
41467_2024_Article_48023.txt,suspension(5 × 106cells/ml,,,,,,,hbmscs cell,,"dSchematic diagram ( i),ﬂuorescence images ( ii) and quantitative analysis ( iii) of cell loading into HHSs in hBMSCs cell suspension(5 × 106cells/mL), which were controlled by number of cycles (1, 3, 5, and 10), n=8 , ***P< 0.001."
41467_2024_Article_48023.txt,1 × 106cells/ml,,,,,,,,,"Firstly, two approaches were used: The ﬁrst one was direct immersion of HHSs in hBMSCs cell suspension (1 × 106cells/mL) for 4 s under a static condition; while the second one utilized acompression-recovery cycle in hBMSCs cell suspension under 80% strain within 4 s ( V 1-mechanical response)."
41467_2024_Article_48023.txt,5 × 10 5cells/ml,,,,,,,hbmscs,,"The number of cells loaded into HHSs were quanti ﬁed by ImageJ. Subsequently, the in ﬂuence of compression displacement (20%, 40%, 60%, and 80%) in hBMSCs cell suspension (1 × 10 6cells/mL) and cycle times (1, 3, 5, and 10) under 40% compression displacementin hBMSCs cell suspension (5 × 10 5cells/mL) on cell loading of HHSs were also evaluated respectively."
41598_2017_Article_1581.txt,,,,,,,,,,"1 Scientific  RepoRts  | 7: 1457  | DOI:10.1038/s41598-017-01581-ywww.nature.com/scientificreportsCoaxial 3D bioprinting of  self-assembled multicellular  heterogeneous tumor fibers Xingliang Dai1, Libiao Liu2, Jia Ouyan g1, Xinda Li2, Xinzhi Zhang3, Qing Lan1 & Tao Xu2,4 Three-dimensional (3D) bioprinting of living structures with cell-laden biomaterials has been achieved  in vitro, however, some cell-cell interactions are limited by the existing hydrogel."
41598_2018_Article_38366.txt,,,,,,,,,,"1 Scientific  RepoRts  |          (2019) 9:1856  | https://doi.org/10.1038/s41598-018-38366-w www.nature.com/scientificreportsIn Situ Bioprinting of Autologous  skin Cells Accelerates Wound  Healing of extensive excisional Full- thickness Wounds Mohammed Albanna1, Kyle W. Binde r1, sean V. Murphy   1,5, Jaehyun Kim1, shadi A. Qasem2,  Weixin Zhao1,3, Josh tan1, Idris B. el-Amin1, Dennis D. Dice1, Julie Marco1, Jason Green   1,  tao Xu1, Aleksander skardal   1,5, James H. Holmes4, John D. Jackson1, Anthony Atala1 &  James J. Yoo1 the early treatment and rapid closure of acute or chronic wounds is essential for normal healing  and prevention of hypertrophic scarring."
biomolecules-11-01250.txt,,,,,,,,,,"biomolecules Article 3D Bioprinting Mesenchymal Stem Cell-Derived Neural Tissues Using a Fibrin-Based Bioink Milena Restan Perez1 , Ruchi Sharma2, Nadia Zeina Masri3 and Stephanie Michelle Willerth1,2,3,* /gid00030/gid00035/gid00032/gid00030/gid00038/gid00001/gid00033/gid00042/gid00045 /gid00001 /gid00048/gid00043/gid00031/gid00028/gid00047/gid00032/gid00046 Citation: Restan Perez, M.; Sharma, R.; Masri, N.Z.; Willerth, S.M. 3D Bioprinting Mesenchymal Stem Cell-Derived Neural Tissues Using a Fibrin-Based Bioink."
biomolecules-13-01062.txt,,,,,,,,,,"Citation: Miao, G.; Liang, L.; Li, W.; Ma, C.; Pan, Y.; Zhao, H.; Zhang, Q.; Xiao, Y.; Yang, X. 3D Bioprinting of a Bioactive Composite Scaffold for Cell Delivery in Periodontal Tissue Regeneration."
biomolecules-13-01062.txt,1 106cells/ml,,,,,,,,,"After the scaffolds were incubated in the cell incubator for 30 min, the cell suspension (1 mL, 1 106cells/mL) was added on each scaffold and incubated at 37C in 5% CO 2."
biomolecules-13-01062.txt,1 107cells/ml,,,,,,,,,"The cell density in bio-inks was 1 107cells/mL. In order to improve the biological activity of the scaffold, BMP-2 and PDGF were added into the bio-inks with a ﬁnal concentration of 5 ug/mL and 100 ng/mL, respectively."
bioprinting.txt,,,,,,,,,,"THEME Making Cell Culture More Physiological Bioprinting stem cells: building physiological tissues one cell at a time Chiara Scognamiglio, Alessandro Soloperto, Giancarlo Ruocco, and X Gianluca Cidonio Center for Life Nano Science, Istituto Italiano di Tecnologia, Rome, Italy Submitted 26 March 2020; accepted in ﬁnal form 3 July 2020 Scognamiglio C, Soloperto A, Ruocco G, Cidonio G. Bioprinting stem cells: building physiological tissues one cell at a time."
