DOI,Printer ,Model,Bioink ,,,,,,,,,,,,Cell composition,,Needle ,,,Pressure ,,,,Temperature (°C),,,,Speed (mm/s),,Flow adjustment (s),,Crosslinking,,,,,,,,,,,Notes,
,,,Component 1,Concentration,,Component 2,Concentration,,Component 3,Concentration,,Component 4,Concentration,,Type,density ,Shape,Size,,High,,Low,,High,Low,Platform,Enclosure,High,Low,pre flow,post flow ,Type,Chemical,,,,Photocrosslinked (per layer),,,,,,,
,,,,#,units ,,#,units ,,#,units ,,#,units ,,e6/mL,,#,units,#,units,#,units,#,#,,#,#,#,#,#,,Name,Conc,Temperature (°C),Time (mins),Photoinitiator,Concentration,Time (s),UV intensity (mW/cm2),PCL High MW,PCL Low MW,,
10.1002/jbm.b.34347,EnvisionTEC,Bioplotter,Polystyrene,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,900,kPa,,,155,,60,,5,3,,,Thermal,,,,,,,,,,,,
10.1002/jbm.b.34347,EnvisionTEC,Bioplotter,Glass Sugar,100,wt%,,,,,,,,,,,,Cylindrical,300,µm,80,kPa,70,kPa,150,,60,,10,30,,,Thermal,,,,,,,,,,,,
10.1021/acsbiomaterials.6b00031,EnvisionTEC,Bioplotter,Gelatin Methacrylated,5,wt%,,,,,,,,,,Placenta BeWo Cells,10,Cylindrical,400,µm,0.5,bar,,,23,,,,10,,0.2,0.2,,,,,,Irgacure 2959,0.1 wt%,,0.09,,,fibronectin added,
10.1021/acsbiomaterials.6b00031,EnvisionTEC,Bioplotter,Gelatin Methacrylated,10,wt%,,,,,,,,,,Placenta BeWo Cells,10,Cylindrical,400,µm,0.7,bar,,,28,,,,10,,-0.2,-0.2,,,,,,Irgacure 2959,0.1 wt%,,0.09,,,fibronectin added,
10.1002/bit.26850,EnvisionTEC,Bioplotter,Gelatin Methacrylated,10,wt%,,,,,,,,,,Primary Human Umbilical Vein Endothelial Cells,10,Cylindrical,400,µm,1,bar,0.5,bar,23,,,,10,,,,,,,,,Irgacure 2959,0.1 wt%,,0.09,,,fibronectin added,
10.1002/jbm.a.36350,EnvisionTEC,Bioplotter,Gelatin Methacrylated,10,wt%,,,,,,,,,,Placenta BeWo Cells,2,Cylindrical,400,µm,1,bar,0.5,bar,23,,,,10,,,,,,,,,Irgacure 2959,0.1 wt%,,0.09,,,"fibronectin, placental dECM added",
10.1088/1758-5090/ab078a,EnvisionTEC,Bioplotter,Fibrinogen,10,wt%,Gelatin,5,wt%,,,,,,,Human Umbilical Vein Endothelial Cells,2,Conical,400,µm,2,bar,0.5,bar,26,22,5,,10,2,,,,,,,,,,,,,,,
10.1088/1758-5090/ab078a,EnvisionTEC,Bioplotter,Fibrinogen,10,wt%,Gelatin,5,wt%,,,,,,,Human Mesenchymal Stem Cells,2,Conical,400,µm,2,bar,0.5,bar,26,22,5,,10,2,,,,,,,,,,,,,,,
10.1088/1758-5090/ab078a,EnvisionTEC,Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,5,bar,,,120,,5,,2,,,,,,,,,,,,,43000,,"PCL molecular weight = 43,000.",
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,22,Gauge,4.5,bar,,,160,,,,1.3,,0.3,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,24,Gauge,5,bar,,,160,,,,12,,0.3,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,27,Gauge,5.5,bar,,,160,,,,1,,0.7,0.5,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,85,wt%,Hydroxyapatite,15,wt%,,,,,,,,,Cylindrical,22,Gauge,4.5,bar,,,160,,,,1.2,,0.3,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,85,wt%,Hydroxyapatite,15,wt%,,,,,,,,,Cylindrical,24,Gauge,5,bar,,,160,,,,0.5,,0.3,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,85,wt%,Hydroxyapatite,15,wt%,,,,,,,,,Cylindrical,27,Gauge,5.5,bar,,,160,,,,0.8,,0.7,0.5,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,70,wt%,Hydroxyapatite,30,wt%,,,,,,,,,Cylindrical,22,Gauge,5,bar,,,160,,,,1,,0.3,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,70,wt%,Hydroxyapatite,30,wt%,,,,,,,,,Cylindrical,24,Gauge,5.5,bar,,,160,,,,0.8,,0.7,0.7,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2019.0112,EnvisionTEC,Bioplotter,PCL,70,wt%,Hydroxyapatite,30,wt%,,,,,,,,,Cylindrical,27,Gauge,6.5,bar,,,160,,,,0.5,,1,0.5,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1016/j.actbio.2019.03.041,EnvisionTEC,Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,22,Gauge,5,bar,,,160,,,,1.2,,0.5,0.25,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1016/j.actbio.2019.03.041,EnvisionTEC,Bioplotter,PCL,85,wt%,Hydroxyapatite,15,wt%,,,,,,,,,Cylindrical,22,Gauge,5,bar,,,160,,,,0.9,,0.7,0.75,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1016/j.actbio.2019.03.041,EnvisionTEC,Bioplotter,PCL,70,wt%,Hydroxyapatite,30,wt%,,,,,,,,,Cylindrical,22,Gauge,5.5,bar,,,160,,,,0.8,,0.7,0.75,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2018.0307,EnvisionTEC,Bioplotter,PCL,100,wt%,,,,,,,,,,,,Cylindrical,22,Gauge,5,bar,,,160,,,,1.2,,0.2,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2018.0307,EnvisionTEC,Bioplotter,PCL,70,wt%,Hydroxyapatite,30,wt%,,,,,,,,,Cylindrical,22,Gauge,5.7,bar,,,160,,,,0.5,,0.3,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2018.0307,EnvisionTEC,Bioplotter,PCL,70,wt%,Beta Tricalcium Phosphate,30,wt%,,,,,,,,,Cylindrical,22,Gauge,5.5,bar,,,160,,,,0.8,,0.2,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1089/ten.tec.2018.0307,EnvisionTEC,Bioplotter,PCL,70,wt%,Hydroxyapatite,15,wt%,Beta Tricalcium Phosphate,15,wt%,,,,,,Cylindrical,22,Gauge,5.7,bar,,,160,,,,0.7,,0.3,0.3,,,,,,,,,,50000,,PCL molecular weight = 50 kDa,
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,9,bar,,,110,,15,,1.5,,,,,,,,,,,,,,,"LA:GA = 50:50, 9.73 kDa, ester endcap ",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,9,bar,,,135,,15,,0.7,,,,,,,,,,,,,,,"LA:GA = 50:50, 30.3 kDa, ester endcap",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,9,bar,,,165,,15,,0.7,,,,,,,,,,,,,,,"LA:GA = 60:40, 42.6 kDa, ester endcap",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,9,bar,,,150,,15,,1.5,,,,,,,,,,,,,,,"LA:GA = 60:40, 33.8 kDa, Acid cap ",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,9,bar,,,170,,15,,0.5,,,,,,,,,,,,,,,"LA:GA = 85:15, 61.9kDa, ester cap",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,7.5,bar,,,95,,15,,1.5,,,,,,,,,,,,,,,"LA:GA = 50:50, 9.73 kDa, ester cap ",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,8,bar,,,125,,15,,1.5,,,,,,,,,,,,,,,"LA:GA = 50:50, 30.3 kDa, Ester endcap",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,9,bar,,,140,,15,,0.5,,,,,,,,,,,,,,,"LA:GA = 60:40, 42.6 kDa, Ester endcap",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,8,bar,,,130,,15,,1,,,,,,,,,,,,,,,"LA:GA = 60:40, 33.8 kDa, acid endcap",
10.1088/1758-5090/aa6370,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,400,µm,8,bar,,,145,,15,,0.5,,,,,,,,,,,,,,,"LA:GA = 85:15, 61.9 kDa, ester endcap ",
10.1002/jbm.a.36426,EnvisionTEC,Bioplotter,PLGA,100,wt%,,,,,,,,,,,,Cylindrical,200,µm,9,bar,,,165,,15,,4,,,,,,,,,,,,,,,"LA:GA = 85:15, 35 kD ",
10.1016/j.biomaterials.2018.09.022,EnvisionTEC,Bioplotter,PLCL,85,wt%,PLGA,15,wt%,,,,,,,,,Cylindrical,200,µm,6.5,bar,,,155,,15,,4.2,,,,,,,,,,,,,,,Lactic Acid: Caprolactone = 70:30. 45-55kD,
10.1088/1758-5090/8/4/045015,Other,ITOP,Polyurethane,40,wt%,,,,,,,,,,,,Cylindrical,200,µm,250,kPa,,,25,,,25,1.67,,,,,,,,,,,,,,,,
10.1038/nbt.3413,Other,ITOP,Gelatin,35,mg/mL,Fibrinogen,20,mg/mL,Hyaluronic Acid,3,mg/mL,Glycerol,10,%,Primary Human Amniotic Fluid-derived Stem Cells,5,Conical,300,µm,80,kPa,50,kPa,18,,,18,3,1,,,,Thrombin,20 UI/mL,25,30,,,,,,,,
10.1038/nbt.3413,Other,ITOP,Gelatin,45,mg/mL,Fibrinogen,30,mg/mL,Hyaluronic Acid,3,mg/mL,Glycerol,10,%,Primary Rabbit Ear Chondrocytes,40,Conical,300,µm,80,kPa,50,kPa,18,,,18,3,1,,,,Thrombin,20 UI/mL,25,30,,,,,,,,
10.1038/nbt.3413,Other,ITOP,Gelatin,35,mg/mL,Fibrinogen,20,mg/mL,Hyaluronic Acid,3,mg/mL,Glycerol,10,%,C2C12 Myoblasts,3,Conical,300,µm,80,kPa,50,kPa,18,,,18,3,1,,,,Thrombin,20 UI/mL,25,30,,,,,,,,
10.1038/nbt.3413,Other,ITOP,PCL,100,wt%,,,,,,,,,,,,Conical,250,µm,800,kPa,,,95,,,18,,,,,,,,,,,,,,50000,43000,"PCL Mw = 43,000 - 50,000.",
10.1038/nbt.3413,Other,ITOP,Pluronic F127,33,wt%,Glycerol,10,%,,,,,,,,,Conical,250,µm,200,kPa,,,18,,,18,,,,,,,,,,,,,,,,,
10.1016/j.actbio.2018.02.007,Other,ITOP,Fibrinogen,20,mg/mL,Gelatin,30,mg/mL,Hyaluronic Acid,3,mg/mL,Glycerol,10,%,Primary Neonatal Rat Ventricular Cardiomyocytes,10,Conical,200,µm,100,kPa,,,18,,,18,1.67,,,,,Thrombin,20 UI/mL,25,20,,,,,,,,
